date,PM2.5_forecast,PM2.5_upper,PM2.5_lower,AQI_Level
2025-01-01,22.21432491581844,26.65718989898213,17.771459932654754,Moderate
2025-01-02,26.177392551272305,31.412871061526765,20.941914041017846,Moderate
2025-01-03,30.662600349776167,36.7951204197314,24.530080279820936,Moderate
2025-01-04,43.96195368556336,52.75434442267603,35.16956294845069,Unhealthy
2025-01-05,36.3212562456839,43.585507494820675,29.05700499654712,Unhealthy
2025-01-06,44.31133479124887,53.17360174949864,35.4490678329991,Unhealthy
2025-01-07,44.531065605341624,53.43727872640995,35.6248524842733,Unhealthy
2025-01-08,40.07935595015418,48.09522714018502,32.063484760123345,Unhealthy
2025-01-09,27.360698371520357,32.832838045824424,21.888558697216286,Moderate
2025-01-10,29.464020970369884,35.35682516444386,23.57121677629591,Moderate
2025-01-11,27.81005529269041,33.37206635122849,22.24804423415233,Moderate
2025-01-12,28.539086561610944,34.24690387393313,22.831269249288756,Moderate
2025-01-13,45.17300131181481,54.207601574177765,36.13840104945185,Unhealthy
2025-01-14,35.007409454852,42.0088913458224,28.005927563881603,Moderate
2025-01-15,43.84491206297254,52.613894475567044,35.075929650378036,Unhealthy
2025-01-16,28.9510404976764,34.74124859721168,23.16083239814112,Moderate
2025-01-17,36.644682526046935,43.97361903125632,29.31574602083755,Unhealthy
2025-01-18,38.63553203541746,46.36263844250095,30.908425628333973,Unhealthy
2025-01-19,38.251007602837994,45.90120912340559,30.600806082270395,Unhealthy
2025-01-20,42.02241996642775,50.42690395971329,33.6179359731422,Unhealthy
2025-01-21,37.98657071002904,45.58388485203485,30.389256568023235,Unhealthy
2025-01-22,27.360550312649583,32.8326603751795,21.888440250119668,Moderate
2025-01-23,17.96542748802011,21.558512985624134,14.37234199041609,Moderate
2025-01-24,30.495541907614033,36.59465028913684,24.39643352609123,Moderate
2025-01-25,28.59535402940403,34.31442483528484,22.876283223523227,Moderate
2025-01-26,34.625522611664195,41.55062713399703,27.700418089331357,Moderate
2025-01-27,41.82103371108557,50.18524045330268,33.456826968868455,Unhealthy
2025-01-28,41.6665482202061,49.999857864247325,33.33323857616488,Unhealthy
2025-01-29,35.012900739493304,42.015480887391966,28.010320591594645,Moderate
2025-01-30,25.09762329747216,30.11714795696659,20.07809863797773,Moderate
2025-01-31,17.689647725206576,21.22757727024789,14.151718180165261,Moderate
2025-02-01,19.272711657879885,23.127253989455863,15.418169326303909,Moderate
2025-02-02,15.009774386350418,18.011729263620502,12.007819509080335,Moderate
2025-02-03,18.090499287888324,21.70859914546599,14.47239943031066,Moderate
2025-02-04,20.077636249433148,24.093163499319775,16.06210899954652,Moderate
2025-02-05,17.02932809875368,20.435193718504415,13.623462479002946,Moderate
2025-02-06,18.102473814890875,21.72296857786905,14.4819790519127,Moderate
2025-02-07,18.26995098932807,21.923941187193684,14.615960791462456,Moderate
2025-02-08,22.710817855531936,27.25298142663832,18.16865428442555,Moderate
2025-02-09,22.71057507784224,27.25269009341069,18.16846006227379,Moderate
2025-02-10,23.383666260356332,28.060399512427598,18.706933008285066,Moderate
2025-02-11,24.79889485964353,29.75867383157223,19.839115887714826,Moderate
2025-02-12,26.12052660934739,31.344631931216867,20.896421287477914,Moderate
2025-02-13,22.89195562996862,27.470346755962343,18.3135645039749,Moderate
2025-02-14,22.161330940954613,26.593597129145536,17.72906475276369,Moderate
2025-02-15,23.635033142020923,28.362039770425106,18.90802651361674,Moderate
2025-02-16,17.325282508860468,20.79033901063256,13.860226007088375,Moderate
2025-02-17,18.515236612700043,22.218283935240052,14.812189290160035,Moderate
2025-02-18,21.452501659095578,25.743001990914692,17.162001327276464,Moderate
2025-02-19,19.398107168591107,23.277728602309327,15.518485734872886,Moderate
2025-02-20,20.33862874961997,24.406354499543966,16.270902999695977,Moderate
2025-02-21,21.49374286706267,25.792491440475207,17.194994293650137,Moderate
2025-02-22,36.803189631106115,44.16382755732734,29.44255170488489,Unhealthy
2025-02-23,27.816644604839894,33.37997352580787,22.253315683871918,Moderate
2025-02-24,21.233027043674493,25.47963245240939,16.986421634939596,Moderate
2025-02-25,16.485135495830956,19.782162594997146,13.188108396664767,Moderate
2025-02-26,21.259687520138986,25.511625024166783,17.00775001611119,Moderate
2025-02-27,28.19528728787618,33.83434474545142,22.556229830300946,Moderate
2025-02-28,18.312884200910545,21.975461041092654,14.650307360728437,Moderate
2025-03-01,23.999823171567243,28.79978780588069,19.199858537253796,Moderate
2025-03-02,27.148975686319602,32.57877082358352,21.719180549055682,Moderate
2025-03-03,33.236062428220805,39.883274913864966,26.588849942576644,Moderate
2025-03-04,27.678280093358417,33.2139361120301,22.142624074686736,Moderate
2025-03-05,20.27569974181708,24.330839690180493,16.220559793453663,Moderate
2025-03-06,21.165038812124063,25.398046574548875,16.93203104969925,Moderate
2025-03-07,22.03394420039611,26.440733040475333,17.627155360316888,Moderate
2025-03-08,26.7748194604289,32.12978335251468,21.419855568343124,Moderate
2025-03-09,30.428986582408527,36.51478389889023,24.343189265926824,Moderate
2025-03-10,33.00761173018512,39.60913407622214,26.406089384148096,Moderate
2025-03-11,30.357803945367845,36.429364734441414,24.286243156294276,Moderate
2025-03-12,32.948854841722245,39.53862581006669,26.3590838733778,Moderate
2025-03-13,30.817399137592776,36.98087896511133,24.653919310074222,Moderate
2025-03-14,26.52173018055006,31.82607621666007,21.217384144440047,Moderate
2025-03-15,25.105958282580577,30.12714993909669,20.084766626064464,Moderate
2025-03-16,24.282099699912703,29.138519639895243,19.425679759930162,Moderate
